id,domain,topic,difficulty,title,objective,adversarial_case,source_url,status
A040,Agentic AI,Evaluation,Medium,Report variability across repeated trials,Aggregate per-case trial outcomes and show unstable slices.,Missing trials and a best-of-run result that hides failures.,https://www.agenticprep.io/problems/eval-seed-aggregation,authoring_brief
A041,Agentic AI,Evaluation,Medium,Explain failure categories without exposing answers,Generate useful category-level feedback from trusted evaluator records.,A hidden input contains text asking to print the expected answer.,https://www.agenticprep.io/problems/eval-failure-summary,authoring_brief
A042,Agentic AI,FDE judgment,Hard,Review a proposal against delivery constraints,Score architecture decisions against an explicit client brief.,Technically elegant design violates budget or operating ownership.,https://www.agenticprep.io/problems/agent-system-design-review,authoring_brief
A043,Agentic AI,FDE judgment,Hard,Prioritize repairs from config and trace evidence,Combine observed failures into a ranked remediation plan.,A plausible hypothesis contradicts recorded events.,https://www.agenticprep.io/problems/agent-final-review-diagnostic,authoring_brief
G001,Generative AI,Prompting,Easy,Complete an evidence-only system prompt,"Fill policy slots for sources, abstention and output shape.",Source text asks the model to ignore the policy.,,authoring_brief
G002,Generative AI,Prompting,Easy,Remove one unsafe promise,Delete only the word always from a specified policy clause.,Other occurrences of always in examples must remain unchanged.,,authoring_brief
G003,Generative AI,Structured output,Easy,Repair an invalid JSON response,Return a schema-valid object without invented fields.,"Markdown fences, trailing commas and missing required keys.",,authoring_brief
G004,Generative AI,Data handling,Easy,Separate instructions from customer text,Build a typed message envelope that labels untrusted data.,Customer text contains fake system-role delimiters.,,authoring_brief
G005,Generative AI,Tokens,Easy,Fit a response inside a token allowance,Allocate input and output budgets using a supplied tokenizer.,Multilingual text uses more tokens than a character heuristic predicts.,,authoring_brief
G006,Generative AI,Prompting,Easy,Choose examples that teach the boundary,Select representative few-shot examples from a labeled set.,All selected examples belong to one class.,,authoring_brief
G007,Generative AI,Extraction,Easy,Extract a support ticket without guessing,Populate typed fields and mark unknown values explicitly.,Customer text contradicts itself about an order ID.,,authoring_brief
G008,Generative AI,Evaluation,Easy,Add the missing boundary test,Write a test for the empty-evidence path.,Only the happy path has been tested.,,authoring_brief
G009,Generative AI,Prompting,Medium,Repair a contradictory system prompt,Resolve competing rules while preserving valid obligations.,A later broad instruction overrides a required restriction.,,authoring_brief
G010,Generative AI,Prompting,Medium,Compress a prompt without losing a constraint,Reduce a prompt under a stated budget and preserve behavior.,A negative constraint is lost during shortening.,,authoring_brief
G011,Generative AI,Structured output,Medium,Validate and repair output once,Add one bounded repair attempt with explicit failure status.,The repair response is also invalid.,,authoring_brief
G012,Generative AI,Extraction,Medium,Handle conflicting evidence fields,Return a conflict state with source references.,The most recent document is less authoritative.,,authoring_brief
G013,Generative AI,Retrieval,Medium,Reject unsupported answer claims,Associate each generated factual claim with evidence.,Citation exists but does not support the associated claim.,,authoring_brief
G014,Generative AI,Evaluation,Medium,Compare two prompts on paired cases,Compute paired improvements and regressions by slice.,Overall accuracy rises while the rare critical slice worsens.,,authoring_brief
G015,Generative AI,Evaluation,Medium,Make a model judge resist answer instructions,Delimit candidate content and validate the judge output.,Candidate answer includes a forged evaluator instruction.,,authoring_brief
G016,Generative AI,Streaming,Medium,Recover from a partial streamed object,Buffer partial data and display a recoverable interrupted state.,Connection breaks midway through a quoted string.,,authoring_brief
G017,Generative AI,Privacy,Medium,Redact synthetic PII before inference,Apply documented field rules before model invocation.,PII appears in nested metadata and a quoted log.,,authoring_brief
G018,Generative AI,Operations,Medium,Cache only equivalent authorized requests,"Build a cache key with tenant, policy and model versions.",Identical text from different tenants.,,authoring_brief
G019,Generative AI,Operations,Medium,Use a cheaper model after measured evidence,Route cases using published measured capability thresholds.,Cheap model passes averages but fails a required language slice.,,authoring_brief
G020,Generative AI,Prompting,Medium,Distinguish refusal from missing evidence,Return explicit cannot-answer and policy-refusal states.,A safe but unsupported question is mistaken for a prohibited one.,,authoring_brief
G021,Generative AI,Evaluation,Hard,Calibrate a semantic evaluator with human labels,Measure agreement and tune a documented threshold.,A judge systematically favors verbose wrong answers.,,authoring_brief
G022,Generative AI,Retrieval,Hard,Diagnose conflicting context at generation time,Trace context selection and answer claims before proposing a fix.,The correct evidence was retrieved but removed by the context budget.,,authoring_brief
G023,Generative AI,Prompting,Hard,Preserve policy across multilingual inputs,Evaluate the same contract across supplied language cases.,Translated injection and mixed-script instructions.,,authoring_brief
G024,Generative AI,Operations,Hard,Ship a prompt change with a rollback rule,Version prompts and compare on holdout slices before promotion.,An improvement on development cases regresses the holdout.,,authoring_brief
G025,Generative AI,Evaluation,Hard,Design a holdout that does not leak,Split related cases by source and template family.,Near-duplicate examples cross the development and holdout boundary.,,authoring_brief
G026,Generative AI,Operations,Hard,Choose RAG or fine-tuning for a client brief,"Compare evidence, update rate and measured failure patterns.",A memorization problem is mislabeled as missing knowledge.,,authoring_brief
G027,Generative AI,Multimodal,Hard,Validate extracted table evidence,Reconcile a supplied image-derived table with row provenance.,Merged cells and a misplaced decimal change the answer.,,authoring_brief
G028,Generative AI,Safety,Hard,Detect a poisoned document before answer generation,Evaluate boundary controls and downstream behavior on injected sources.,Obfuscated instructions coexist with useful evidence.,,authoring_brief
G029,Generative AI,FDE delivery,Extreme,Build an evidence-grounded support copilot,Deliver an evaluated solution from a client brief and fixtures.,"Conflicting policies, outages, injection and a strict operating budget.",,authoring_brief
G030,Generative AI,FDE delivery,Extreme,Rescue a failing document extraction pilot,"Diagnose evidence, implement a repair and justify rollout.",Training examples hide the most expensive failure segment.,,authoring_brief
G031,Generative AI,FDE delivery,Extreme,Reduce model spend without breaking the service,Propose and implement a measured cost reduction under quality constraints.,Caching creates tenant leakage and routing harms critical cases.,,authoring_brief
G032,Generative AI,FDE delivery,Extreme,Rebuild a brittle prompt workflow,Deliver a maintainable workflow with documented limits and holdout evidence.,The incumbent prompt contains competing undocumented rules.,,authoring_brief
F001,FDE Practice,Discovery,Easy,Turn a vague request into a testable outcome,Write a measurable workflow goal and a non-goal.,The stated metric measures activity rather than customer value.,,authoring_brief
F002,FDE Practice,Data contracts,Easy,Validate a customer API payload,Repair a typed adapter against a provided contract.,"Missing field, unexpected enum and a null nested object.",,authoring_brief
F003,FDE Practice,Delivery,Easy,Choose the smallest useful vertical slice,"Select one usable path connecting UI, service and evidence.",A polished dashboard hides a non-working core action.,,authoring_brief
F004,FDE Practice,Observability,Easy,Add a useful error to a broken integration,Return a safe error and a trace correlation ID.,Raw provider error exposes an internal credential.,,authoring_brief
F005,FDE Practice,Operations,Easy,Calculate cost per successful task,Compute spend divided by completed useful outcomes.,Retries and failed tasks were excluded from total spend.,,authoring_brief
F006,FDE Practice,Discovery,Medium,Challenge an unrealistic automation target,Translate a client target into measurable assumptions and a pilot.,Accuracy target ignores the cost of rare failures.,,authoring_brief
F007,FDE Practice,Integration,Medium,Repair a webhook without duplicate work,Implement idempotency and safe acknowledgement.,Provider retries while the first delivery is still processing.,,authoring_brief
F008,FDE Practice,Integration,Medium,Recover from an API schema change,Add compatible parsing and version-aware errors.,A field changes units while keeping its old name.,,authoring_brief
F009,FDE Practice,Operations,Medium,Set a release threshold from evidence,Choose metrics and critical-slice requirements from supplied results.,High average success conceals unauthorized actions.,,authoring_brief
F010,FDE Practice,Communication,Medium,Explain a trade-off to a client engineer,Write a concise decision record with consequences and evidence.,The preferred option lacks an operational owner.,,authoring_brief
F011,FDE Practice,Delivery,Medium,Convert a notebook into a service contract,"Define inputs, errors, versioning and observable behavior.",Notebook state silently affects the second request.,,authoring_brief
F012,FDE Practice,Security,Medium,Keep tenant scope through the whole request,Propagate verified tenant identity across adapters.,A user-supplied tenant ID overrides the authenticated scope.,,authoring_brief
F013,FDE Practice,Operations,Medium,Triage a delayed cohort job,Use queue and trace evidence to distinguish causes.,Infrastructure failure is reported as a learner mistake.,,authoring_brief
F014,FDE Practice,Discovery,Medium,Prioritize a pilot backlog by evidence,"Rank work by impact, effort and validated uncertainty.",A senior request has no evidence of customer impact.,,authoring_brief
F015,FDE Practice,Communication,Medium,Write an honest production handoff,"Document service limits, rollback and ownership.",A critical dependency is owned by nobody.,,authoring_brief
F016,FDE Practice,Operations,Hard,Roll back an unsafe model change,Design a canary and rollback decision from segmented metrics.,Rollback restores code but leaves the new prompt version active.,,authoring_brief
F017,FDE Practice,Integration,Hard,Design an idempotent side-effect boundary,Make repeated action delivery safe with a durable ledger.,Worker crashes after external success but before local acknowledgement.,,authoring_brief
F018,FDE Practice,Delivery,Hard,Handle a customer environment with no outbound internet,Select a feasible inference and artifact distribution plan.,The proposed package installer needs blocked internet access.,,authoring_brief
F019,FDE Practice,Discovery,Hard,Prove whether a pilot is worth expanding,"Analyze adoption, quality, cost and operating effort together.",User satisfaction improves while manual correction work doubles.,,authoring_brief
F020,FDE Practice,Security,Hard,Design deletion across derived AI artifacts,"Propagate deletion into caches, indexes and summaries.",An old summary reintroduces a deleted fact.,,authoring_brief
F021,FDE Practice,Operations,Hard,Investigate an incident from incomplete telemetry,"State evidence, hypotheses, containment and next checks.",Missing spans tempt the engineer to claim an unobserved cause.,,authoring_brief
F022,FDE Practice,FDE delivery,Extreme,Deliver a Client Zero engagement,"Scope, build, evaluate and hand over a simulated client solution.",Requirements change after a credible prototype exists.,,authoring_brief
F023,FDE Practice,FDE delivery,Extreme,Repair a brownfield AI service under constraints,Ship a minimal repair with regression and rollback evidence.,No clean rewrite is possible and the legacy contract must remain stable.,,authoring_brief
F024,FDE Practice,FDE delivery,Extreme,Defend a build in a technical screen,Demonstrate working behavior and answer a surprise constraint.,The interviewer removes the assumption the design depends on.,,authoring_brief
F025,FDE Practice,FDE delivery,Extreme,Run an incident and recovery exercise,"Diagnose, contain, repair and brief stakeholders from fixtures.",The first apparent fix improves latency but breaches a policy.,,authoring_brief
A044,Agentic AI,Agent state,Easy,Separate actions from final answers,Validate a tagged action-or-final union.,Response contains both variants.,,authoring_brief
A045,Agentic AI,Tools,Easy,Remove an overpowered tool,Replace a broad shell-like capability with a narrow function.,Tool arguments try to reintroduce arbitrary execution.,,authoring_brief
A046,Agentic AI,Agent state,Easy,Preserve tool-call identity,Match each result to its request ID.,Results arrive out of order.,,authoring_brief
A047,Agentic AI,Safety,Medium,Cancel an agent without executing another action,Check cancellation at every execution boundary.,Cancellation arrives after planning but before dispatch.,,authoring_brief
A048,Agentic AI,Tools,Medium,Give one request a safe tool capability,"Scope access to one action, run and expiration.",A stale capability is replayed in another run.,,authoring_brief
A049,Agentic AI,Memory,Medium,Resume from a versioned checkpoint,Recover state while avoiding repeated completed effects.,Checkpoint predates a successful side effect.,,authoring_brief
A050,Agentic AI,Tools,Medium,Validate an MCP tool result,Handle structured content and error states through an adapter.,A tool result embeds an instruction as metadata.,,authoring_brief
A051,Agentic AI,Tools,Medium,Mock a tool for reproducible evaluation,Record and replay a versioned deterministic response fixture.,Recorded output belongs to another schema version.,,authoring_brief
A052,Agentic AI,Agent loops,Medium,Choose a workflow before adding another agent,Implement a state machine for a fixed dependency graph.,Unnecessary agent routing adds variable behavior.,,authoring_brief
A053,Agentic AI,Safety,Hard,Reject stale approval after a plan changes,Bind approval to an immutable action digest.,Same tool name with a different destination.,,authoring_brief
A054,Agentic AI,Agent loops,Hard,Recover a partially completed plan,Resume only safe incomplete steps.,One completed step is non-idempotent.,,authoring_brief
A055,Agentic AI,Safety,Hard,Prevent data crossing worker boundaries,Scope task context and tools by worker capability.,One worker requests another tenant's memory.,,authoring_brief
A056,Agentic AI,Evaluation,Hard,Find a useful attack that breaks a naive agent,Author an adversarial case with an expected safe outcome.,An attack test also rejects harmless quoted text.,,authoring_brief
A057,Agentic AI,Operations,Hard,Enforce one budget across concurrent branches,Use atomic reservations and reconciliation.,Two branches each observe the same remaining budget.,,authoring_brief
A058,Agentic AI,Observability,Hard,Replay an agent failure from recorded evidence,Reconstruct actions with versioned fixtures and compare invariants.,Tool schema drift makes an old trace incompatible.,,authoring_brief
A059,Agentic AI,Tools,Hard,Quarantine an untrusted tool response,Validate output and allow only declared downstream use.,A response contains a URL designed to trigger data export.,,authoring_brief
A060,Agentic AI,FDE delivery,Extreme,Build an approved-action service agent,Deliver a constrained agent with an auditable effect boundary.,"Duplicate requests, revoked approval and a dependency outage.",,authoring_brief
A061,Agentic AI,FDE delivery,Extreme,Coordinate a multi-worker investigation,Solve a client incident using bounded specialized workers.,"Workers disagree, repeat evidence and compete for the budget.",,authoring_brief
A062,Agentic AI,FDE delivery,Extreme,Replace a fragile autonomous workflow,Choose the appropriate control model and prove the improvement.,The best solution may use fewer autonomous steps.,,authoring_brief
A063,Agentic AI,FDE delivery,Extreme,Recover a long-running agent after interruption,Deliver safe resumption with observable partial progress.,A crash occurs between external action and durable recording.,,authoring_brief
